DS_name,Variables.Selected.by.glmnet,Structural_Variables,Variables.Not.Selected.by.glmnet,Nonstructural_Variables
0.75-15-7-46,"X1, X2, X3, X7, X10, X11, X12, X13, X15, X16, X17, X18, X19, X20, X22, X23, X24, X26, X27, X28, X30","X1, X3, X7, X12, X15, X16, X17, X18, X19, X22, X23, X24, X26, X27, X28","X4, X5, X6, X8, X9, X14, X21, X25, X29","X2, X4, X5, X6, X8, X9, X10, X11, X13, X14, X20, X21, X25, X29, X30"
0.75-15-7-47,"X1, X2, X3, X4, X5, X7, X8, X9, X11, X12, X13, X15, X16, X17, X18, X20, X21, X22, X24, X25, X26, X28, X29, X30","X1, X3, X5, X8, X9, X11, X16, X17, X18, X21, X22, X24, X25, X26, X28","X6, X10, X14, X19, X23, X27","X2, X4, X6, X7, X10, X12, X13, X14, X15, X19, X20, X23, X27, X29, X30"
0.75-15-7-48,"X2, X3, X4, X5, X6, X9, X11, X17, X18, X19, X20, X21, X22, X24, X25, X26, X29, X30","X2, X3, X5, X6, X9, X11, X18, X20, X21, X22, X24, X25, X26, X29, X30","X1, X7, X8, X10, X12, X13, X14, X15, X16, X23, X27, X28","X1, X4, X7, X8, X10, X12, X13, X14, X15, X16, X17, X19, X23, X27, X28"
0.75-15-7-49,"X1, X2, X3, X4, X5, X6, X7, X8, X9, X11, X12, X13, X14, X15, X18, X19, X20, X21, X22, X24, X27, X28, X29, X30","X3, X4, X5, X8, X9, X11, X12, X13, X14, X15, X19, X21, X22, X28, X29","X10, X16, X17, X23, X25, X26","X1, X2, X6, X7, X10, X16, X17, X18, X20, X23, X24, X25, X26, X27, X30"
0.75-15-7-50,"X1, X2, X3, X4, X6, X7, X8, X9, X10, X11, X12, X15, X17, X20, X21, X22, X23, X24, X26, X27, X28, X29, X30","X1, X4, X6, X8, X10, X11, X15, X17, X20, X21, X22, X24, X27, X28, X29","X5, X13, X14, X16, X18, X19, X25","X2, X3, X5, X7, X9, X12, X13, X14, X16, X18, X19, X23, X25, X26, X30"
0.75-15-7-51,"X1, X2, X3, X9, X10, X12, X13, X14, X15, X16, X17, X19, X20, X22, X25, X26, X28, X30","X1, X3, X10, X13, X14, X15, X16, X17, X19, X20, X22, X25, X26, X28, X30","X4, X5, X6, X7, X8, X11, X18, X21, X23, X24, X27, X29","X2, X4, X5, X6, X7, X8, X9, X11, X12, X18, X21, X23, X24, X27, X29"
0.75-15-7-52,"X1, X2, X4, X5, X6, X7, X8, X10, X11, X12, X13, X14, X15, X19, X20, X21, X25, X26, X28, X29, X30","X2, X5, X6, X7, X8, X12, X13, X14, X19, X21, X25, X26, X28, X29, X30","X3, X9, X16, X17, X18, X22, X23, X24, X27","X1, X3, X4, X9, X10, X11, X15, X16, X17, X18, X20, X22, X23, X24, X27"
0.75-15-7-53,"X1, X4, X9, X10, X11, X13, X14, X15, X16, X17, X18, X19, X20, X21, X23, X24, X25, X26, X28, X30","X1, X9, X10, X13, X14, X15, X17, X18, X19, X20, X21, X23, X24, X25, X28","X2, X3, X5, X6, X7, X8, X12, X22, X27, X29","X2, X3, X4, X5, X6, X7, X8, X11, X12, X16, X22, X26, X27, X29, X30"
0.75-15-7-54,"X1, X2, X7, X8, X9, X10, X11, X13, X15, X16, X17, X18, X19, X20, X22, X25, X26, X27, X28, X30","X2, X7, X8, X9, X13, X15, X16, X17, X19, X20, X22, X25, X26, X27, X28","X3, X4, X5, X6, X12, X14, X21, X23, X24, X29","X1, X3, X4, X5, X6, X10, X11, X12, X14, X18, X21, X23, X24, X29, X30"
0.75-15-7-55,"X3, X4, X6, X7, X11, X15, X16, X17, X18, X19, X20, X21, X22, X23, X24, X25, X26, X27, X28, X29, X30","X3, X4, X6, X15, X16, X17, X18, X19, X20, X22, X24, X26, X27, X28, X29","X1, X2, X5, X8, X9, X10, X12, X13, X14","X1, X2, X5, X7, X8, X9, X10, X11, X12, X13, X14, X21, X23, X25, X30"
0.75-15-7-56,"X1, X2, X3, X4, X5, X6, X8, X9, X11, X13, X15, X18, X19, X20, X21, X22, X25, X26, X27, X30","X1, X2, X3, X4, X5, X6, X8, X9, X18, X19, X21, X25, X26, X27, X30","X7, X10, X12, X14, X16, X17, X23, X24, X28, X29","X7, X10, X11, X12, X13, X14, X15, X16, X17, X20, X22, X23, X24, X28, X29"
0.75-15-7-57,"X3, X4, X5, X6, X7, X12, X13, X14, X15, X17, X18, X19, X20, X21, X23, X24, X27, X28, X30","X3, X4, X6, X7, X13, X14, X17, X18, X19, X20, X21, X23, X24, X27, X28","X1, X2, X8, X9, X10, X11, X16, X22, X25, X26, X29","X1, X2, X5, X8, X9, X10, X11, X12, X15, X16, X22, X25, X26, X29, X30"
0.75-15-7-58,"X1, X2, X5, X6, X7, X8, X9, X10, X11, X12, X13, X15, X16, X17, X19, X20, X21, X22, X23, X26, X27, X29, X30","X2, X6, X7, X8, X9, X10, X11, X13, X15, X20, X21, X22, X26, X27, X29","X3, X4, X14, X18, X24, X25, X28","X1, X3, X4, X5, X12, X14, X16, X17, X18, X19, X23, X24, X25, X28, X30"
0.75-15-7-59,"X3, X4, X6, X8, X9, X11, X12, X13, X14, X15, X16, X17, X18, X19, X20, X21, X23, X24, X28, X30","X3, X4, X6, X9, X11, X12, X15, X16, X18, X19, X20, X21, X23, X24, X28","X1, X2, X5, X7, X10, X22, X25, X26, X27, X29","X1, X2, X5, X7, X8, X10, X13, X14, X17, X22, X25, X26, X27, X29, X30"
0.75-15-7-60,"X1, X2, X3, X5, X6, X8, X9, X13, X15, X16, X17, X20, X22, X23, X25, X26, X27, X28, X29, X30","X1, X2, X5, X8, X9, X13, X15, X16, X20, X23, X25, X26, X27, X28, X29","X4, X7, X10, X11, X12, X14, X18, X19, X21, X24","X3, X4, X6, X7, X10, X11, X12, X14, X17, X18, X19, X21, X22, X24, X30"
0.75-15-7-61,"X1, X2, X3, X4, X5, X6, X7, X8, X9, X10, X11, X12, X14, X15, X16, X17, X18, X19, X21, X22, X23, X25, X26, X27, X29, X30","X2, X4, X6, X8, X9, X10, X12, X14, X17, X18, X19, X21, X23, X26, X29","X13, X20, X24, X28","X1, X3, X5, X7, X11, X13, X15, X16, X20, X22, X24, X25, X27, X28, X30"
0.75-15-7-62,"X1, X2, X4, X5, X9, X10, X14, X15, X16, X17, X18, X19, X20, X24, X26, X27, X28, X29, X30","X2, X4, X5, X9, X10, X14, X15, X16, X17, X18, X19, X20, X24, X26, X29","X3, X6, X7, X8, X11, X12, X13, X21, X22, X23, X25","X1, X3, X6, X7, X8, X11, X12, X13, X21, X22, X23, X25, X27, X28, X30"
0.75-15-7-63,"X1, X2, X4, X5, X9, X10, X11, X12, X14, X15, X16, X17, X18, X22, X23, X24, X25, X27, X28, X29, X30","X1, X2, X4, X5, X9, X10, X12, X15, X16, X22, X23, X24, X25, X28, X30","X3, X6, X7, X8, X13, X19, X20, X21, X26","X3, X6, X7, X8, X11, X13, X14, X17, X18, X19, X20, X21, X26, X27, X29"
0.75-15-7-64,"X1, X2, X3, X4, X5, X7, X8, X9, X11, X13, X14, X16, X17, X18, X19, X20, X21, X22, X23, X24, X25, X26, X29, X30","X1, X3, X4, X7, X11, X14, X16, X18, X19, X20, X21, X22, X24, X25, X29","X6, X10, X12, X15, X27, X28","X2, X5, X6, X8, X9, X10, X12, X13, X15, X17, X23, X26, X27, X28, X30"
0.75-15-7-65,"X1, X2, X3, X5, X6, X7, X8, X9, X10, X13, X14, X15, X16, X17, X18, X19, X24, X27, X30","X1, X3, X5, X6, X7, X8, X9, X10, X13, X14, X15, X17, X18, X19, X24","X4, X11, X12, X20, X21, X22, X23, X25, X26, X28, X29","X2, X4, X11, X12, X16, X20, X21, X22, X23, X25, X26, X27, X28, X29, X30"
0.75-15-7-66,"X1, X3, X4, X5, X8, X9, X10, X11, X12, X14, X15, X18, X19, X20, X21, X22, X23, X25, X26, X27, X28, X30","X1, X4, X5, X8, X9, X14, X15, X18, X19, X20, X22, X23, X25, X27, X28","X2, X6, X7, X13, X16, X17, X24, X29","X2, X3, X6, X7, X10, X11, X12, X13, X16, X17, X21, X24, X26, X29, X30"
0.75-15-7-67,"X5, X7, X8, X10, X11, X12, X13, X14, X15, X17, X18, X20, X21, X22, X23, X24, X25, X26, X27, X28, X30","X5, X8, X10, X11, X13, X14, X15, X17, X18, X21, X23, X24, X26, X27, X30","X1, X2, X3, X4, X6, X9, X16, X19, X29","X1, X2, X3, X4, X6, X7, X9, X12, X16, X19, X20, X22, X25, X28, X29"
0.75-15-7-68,"X3, X4, X7, X8, X11, X12, X13, X14, X15, X16, X17, X18, X19, X21, X22, X23, X24, X25, X26, X27, X28, X29, X30","X3, X7, X8, X12, X13, X14, X15, X17, X21, X22, X24, X25, X26, X28, X29","X1, X2, X5, X6, X9, X10, X20","X1, X2, X4, X5, X6, X9, X10, X11, X16, X18, X19, X20, X23, X27, X30"
0.75-15-7-69,"X1, X2, X3, X4, X6, X8, X10, X11, X12, X13, X14, X17, X21, X22, X24, X25, X28, X29, X30","X1, X2, X3, X4, X8, X10, X11, X12, X13, X17, X21, X24, X25, X29, X30","X5, X7, X9, X15, X16, X18, X19, X20, X23, X26, X27","X5, X6, X7, X9, X14, X15, X16, X18, X19, X20, X22, X23, X26, X27, X28"
0.75-15-7-70,"X2, X5, X6, X7, X8, X10, X11, X12, X13, X14, X15, X17, X19, X20, X21, X22, X23, X24, X25, X26, X27, X28, X29, X30","X2, X5, X6, X7, X8, X15, X19, X20, X21, X23, X24, X25, X26, X29, X30","X1, X3, X4, X9, X16, X18","X1, X3, X4, X9, X10, X11, X12, X13, X14, X16, X17, X18, X22, X27, X28"
0.75-15-7-71,"X3, X4, X5, X6, X7, X10, X12, X13, X14, X15, X16, X17, X23, X24, X26, X27, X28, X29, X30","X3, X4, X6, X7, X10, X12, X13, X15, X16, X17, X23, X24, X26, X27, X28","X1, X2, X8, X9, X11, X18, X19, X20, X21, X22, X25","X1, X2, X5, X8, X9, X11, X14, X18, X19, X20, X21, X22, X25, X29, X30"
0.75-15-7-72,"X1, X3, X7, X8, X12, X13, X15, X16, X17, X18, X20, X21, X22, X25, X26, X27, X28, X30","X1, X7, X8, X12, X13, X15, X16, X17, X18, X20, X21, X22, X25, X26, X30","X2, X4, X5, X6, X9, X10, X11, X14, X19, X23, X24, X29","X2, X3, X4, X5, X6, X9, X10, X11, X14, X19, X23, X24, X27, X28, X29"
0.75-15-7-73,"X3, X4, X5, X6, X7, X11, X12, X13, X14, X15, X16, X18, X19, X20, X21, X22, X24, X26, X29, X30","X4, X5, X7, X11, X12, X13, X14, X16, X18, X19, X20, X21, X22, X29, X30","X1, X2, X8, X9, X10, X17, X23, X25, X27, X28","X1, X2, X3, X6, X8, X9, X10, X15, X17, X23, X24, X25, X26, X27, X28"
0.75-15-7-74,"X1, X2, X3, X4, X5, X6, X7, X9, X10, X11, X12, X14, X15, X16, X17, X19, X20, X21, X22, X24, X25, X26, X30","X1, X2, X5, X6, X7, X10, X11, X12, X14, X15, X17, X19, X22, X24, X25","X8, X13, X18, X23, X27, X28, X29","X3, X4, X8, X9, X13, X16, X18, X20, X21, X23, X26, X27, X28, X29, X30"
0.75-15-7-75,"X1, X3, X4, X5, X6, X8, X10, X11, X12, X13, X14, X17, X18, X19, X20, X21, X22, X23, X24, X25, X26, X27, X28, X29, X30","X1, X3, X4, X11, X12, X13, X14, X17, X18, X19, X20, X24, X25, X26, X29","X2, X7, X9, X15, X16","X2, X5, X6, X7, X8, X9, X10, X15, X16, X21, X22, X23, X27, X28, X30"
0.75-15-7-76,"X1, X3, X8, X9, X10, X11, X12, X14, X17, X18, X22, X24, X25, X26, X27, X28, X29, X30","X1, X3, X9, X10, X11, X14, X18, X22, X24, X25, X26, X27, X28, X29, X30","X2, X4, X5, X6, X7, X13, X15, X16, X19, X20, X21, X23","X2, X4, X5, X6, X7, X8, X12, X13, X15, X16, X17, X19, X20, X21, X23"
0.75-15-7-77,"X1, X2, X5, X6, X7, X8, X10, X12, X13, X14, X15, X16, X17, X18, X20, X21, X23, X29, X30","X1, X2, X5, X6, X7, X8, X10, X14, X15, X16, X17, X18, X20, X21, X23","X3, X4, X9, X11, X19, X22, X24, X25, X26, X27, X28","X3, X4, X9, X11, X12, X13, X19, X22, X24, X25, X26, X27, X28, X29, X30"
0.75-15-7-78,"X2, X3, X4, X5, X6, X7, X9, X10, X11, X12, X16, X17, X18, X20, X22, X25, X26, X27, X28, X29, X30","X2, X3, X4, X5, X7, X9, X11, X12, X17, X22, X25, X26, X28, X29, X30","X1, X8, X13, X14, X15, X19, X21, X23, X24","X1, X6, X8, X10, X13, X14, X15, X16, X18, X19, X20, X21, X23, X24, X27"
0.75-15-7-79,"X1, X2, X3, X4, X5, X6, X7, X8, X9, X11, X12, X13, X15, X16, X17, X18, X19, X20, X21, X22, X23, X24, X28, X29, X30","X3, X5, X6, X7, X11, X12, X13, X16, X17, X18, X20, X21, X22, X23, X29","X10, X14, X25, X26, X27","X1, X2, X4, X8, X9, X10, X14, X15, X19, X24, X25, X26, X27, X28, X30"
0.75-15-7-80,"X3, X4, X5, X9, X13, X15, X16, X17, X18, X21, X22, X23, X24, X25, X26, X27, X28, X30","X3, X4, X5, X9, X13, X15, X16, X17, X21, X22, X23, X24, X26, X28, X30","X1, X2, X6, X7, X8, X10, X11, X12, X14, X19, X20, X29","X1, X2, X6, X7, X8, X10, X11, X12, X14, X18, X19, X20, X25, X27, X29"
0.75-15-7-81,"X1, X4, X7, X9, X10, X11, X12, X13, X14, X18, X19, X20, X21, X22, X24, X27, X28, X29, X30","X4, X7, X9, X10, X11, X13, X14, X18, X19, X20, X21, X22, X28, X29, X30","X2, X3, X5, X6, X8, X15, X16, X17, X23, X25, X26","X1, X2, X3, X5, X6, X8, X12, X15, X16, X17, X23, X24, X25, X26, X27"
0.75-15-7-82,"X1, X2, X7, X8, X11, X15, X16, X18, X19, X20, X21, X23, X24, X25, X26, X27, X28, X29, X30","X1, X2, X7, X8, X11, X16, X19, X20, X21, X23, X24, X25, X26, X27, X28","X3, X4, X5, X6, X9, X10, X12, X13, X14, X17, X22","X3, X4, X5, X6, X9, X10, X12, X13, X14, X15, X17, X18, X22, X29, X30"
0.75-15-7-83,"X1, X4, X5, X10, X11, X12, X13, X14, X15, X16, X17, X18, X19, X20, X22, X23, X25, X26, X27, X28, X29, X30","X1, X4, X5, X11, X12, X13, X14, X16, X17, X19, X20, X22, X23, X25, X26","X2, X3, X6, X7, X8, X9, X21, X24","X2, X3, X6, X7, X8, X9, X10, X15, X18, X21, X24, X27, X28, X29, X30"
0.75-15-7-84,"X1, X2, X3, X4, X6, X8, X10, X11, X12, X17, X18, X19, X20, X21, X22, X23, X24, X26, X27, X28, X30","X2, X3, X4, X6, X8, X10, X11, X17, X18, X20, X22, X23, X24, X27, X30","X5, X7, X9, X13, X14, X15, X16, X25, X29","X1, X5, X7, X9, X12, X13, X14, X15, X16, X19, X21, X25, X26, X28, X29"
0.75-15-7-85,"X2, X3, X4, X6, X8, X9, X10, X12, X13, X15, X16, X17, X18, X19, X21, X22, X24, X26, X27, X28, X30","X2, X3, X4, X6, X8, X9, X10, X12, X15, X16, X17, X18, X24, X27, X30","X1, X5, X7, X11, X14, X20, X23, X25, X29","X1, X5, X7, X11, X13, X14, X19, X20, X21, X22, X23, X25, X26, X28, X29"
0.75-15-7-86,"X2, X3, X5, X6, X7, X8, X9, X11, X12, X13, X14, X16, X17, X18, X19, X20, X21, X22, X23, X24, X25, X28, X29, X30","X2, X3, X6, X7, X8, X9, X12, X14, X20, X21, X22, X23, X24, X28, X29","X1, X4, X10, X15, X26, X27","X1, X4, X5, X10, X11, X13, X15, X16, X17, X18, X19, X25, X26, X27, X30"
0.75-15-7-87,"X1, X2, X4, X5, X9, X14, X15, X16, X18, X19, X23, X24, X25, X27, X28, X29, X30","X1, X2, X4, X5, X9, X14, X15, X16, X18, X19, X23, X25, X27, X28, X29","X3, X6, X7, X8, X10, X11, X12, X13, X17, X20, X21, X22, X26","X3, X6, X7, X8, X10, X11, X12, X13, X17, X20, X21, X22, X24, X26, X30"
0.75-15-7-88,"X1, X3, X4, X6, X11, X12, X13, X14, X15, X17, X18, X19, X20, X21, X22, X23, X24, X26, X27, X29, X30","X3, X4, X6, X13, X14, X15, X18, X19, X20, X22, X23, X24, X26, X27, X29","X2, X5, X7, X8, X9, X10, X16, X25, X28","X1, X2, X5, X7, X8, X9, X10, X11, X12, X16, X17, X21, X25, X28, X30"
0.75-15-7-89,"X1, X2, X3, X4, X5, X7, X8, X10, X11, X13, X14, X15, X17, X18, X19, X22, X23, X24, X26, X27, X28, X29, X30","X2, X3, X5, X7, X10, X13, X14, X17, X18, X19, X22, X24, X26, X27, X28","X6, X9, X12, X16, X20, X21, X25","X1, X4, X6, X8, X9, X11, X12, X15, X16, X20, X21, X23, X25, X29, X30"
0.75-15-7-90,"X3, X4, X5, X6, X7, X8, X9, X10, X11, X12, X13, X14, X18, X19, X21, X22, X23, X24, X25, X29, X30","X3, X4, X6, X8, X10, X11, X12, X13, X14, X19, X22, X23, X24, X29, X30","X1, X2, X15, X16, X17, X20, X26, X27, X28","X1, X2, X5, X7, X9, X15, X16, X17, X18, X20, X21, X25, X26, X27, X28"
0.75-15-7-91,"X1, X2, X4, X5, X6, X7, X13, X14, X15, X16, X17, X18, X19, X20, X21, X22, X24, X27, X29, X30","X1, X2, X4, X5, X6, X7, X14, X16, X17, X18, X19, X21, X24, X27, X30","X3, X8, X9, X10, X11, X12, X23, X25, X26, X28","X3, X8, X9, X10, X11, X12, X13, X15, X20, X22, X23, X25, X26, X28, X29"
0.75-15-7-92,"X1, X3, X4, X5, X8, X9, X10, X11, X12, X13, X14, X15, X16, X19, X20, X21, X22, X23, X25, X26, X27, X29, X30","X1, X5, X9, X10, X11, X12, X13, X14, X15, X16, X19, X20, X22, X26, X29","X2, X6, X7, X17, X18, X24, X28","X2, X3, X4, X6, X7, X8, X17, X18, X21, X23, X24, X25, X27, X28, X30"
0.75-15-7-93,"X1, X2, X3, X5, X6, X7, X8, X9, X10, X13, X14, X15, X16, X20, X21, X23, X24, X28, X29, X30","X1, X2, X3, X6, X8, X9, X10, X13, X14, X16, X20, X21, X23, X28, X29","X4, X11, X12, X17, X18, X19, X22, X25, X26, X27","X4, X5, X7, X11, X12, X15, X17, X18, X19, X22, X24, X25, X26, X27, X30"
0.75-15-7-94,"X1, X2, X3, X4, X5, X7, X8, X9, X11, X12, X13, X14, X15, X16, X17, X18, X19, X20, X21, X23, X24, X25, X26, X27, X28, X29, X30","X1, X3, X4, X5, X11, X13, X17, X18, X19, X20, X21, X23, X25, X27, X28","X6, X10, X22","X2, X6, X7, X8, X9, X10, X12, X14, X15, X16, X22, X24, X26, X29, X30"
0.75-15-7-95,"X1, X3, X4, X6, X7, X8, X9, X11, X13, X14, X15, X16, X17, X18, X21, X22, X24, X25, X26, X28, X30","X1, X3, X7, X11, X13, X14, X15, X16, X17, X18, X21, X22, X24, X25, X28","X2, X5, X10, X12, X19, X20, X23, X27, X29","X2, X4, X5, X6, X8, X9, X10, X12, X19, X20, X23, X26, X27, X29, X30"
0.75-15-7-96,"X1, X3, X4, X5, X8, X9, X10, X11, X12, X13, X15, X16, X17, X18, X22, X23, X24, X27, X30","X1, X3, X4, X5, X8, X10, X11, X12, X15, X16, X18, X22, X24, X27, X30","X2, X6, X7, X14, X19, X20, X21, X25, X26, X28, X29","X2, X6, X7, X9, X13, X14, X17, X19, X20, X21, X23, X25, X26, X28, X29"
0.75-15-7-97,"X1, X2, X3, X4, X6, X7, X8, X9, X10, X11, X12, X13, X14, X15, X16, X18, X22, X23, X25, X29, X30","X2, X3, X4, X7, X8, X9, X12, X13, X14, X15, X18, X22, X23, X29, X30","X5, X17, X19, X20, X21, X24, X26, X27, X28","X1, X5, X6, X10, X11, X16, X17, X19, X20, X21, X24, X25, X26, X27, X28"
0.75-15-7-98,"X1, X2, X4, X6, X7, X8, X9, X11, X12, X14, X15, X17, X20, X21, X22, X23, X24, X25, X26, X27, X28, X29, X30","X1, X2, X4, X6, X7, X8, X11, X12, X17, X23, X24, X25, X26, X28, X29","X3, X5, X10, X13, X16, X18, X19","X3, X5, X9, X10, X13, X14, X15, X16, X18, X19, X20, X21, X22, X27, X30"
0.75-15-7-99,"X1, X2, X4, X5, X6, X8, X9, X10, X13, X14, X17, X18, X19, X20, X22, X23, X24, X25, X26, X27, X28, X29, X30","X1, X4, X5, X9, X10, X14, X17, X18, X19, X20, X22, X24, X25, X26, X28","X3, X7, X11, X12, X15, X16, X21","X2, X3, X6, X7, X8, X11, X12, X13, X15, X16, X21, X23, X27, X29, X30"
0.75-15-7-100,"X1, X2, X4, X7, X8, X9, X10, X11, X12, X13, X16, X17, X18, X19, X21, X23, X24, X25, X28, X29, X30","X1, X2, X4, X8, X10, X11, X12, X13, X16, X19, X21, X23, X24, X28, X29","X3, X5, X6, X14, X15, X20, X22, X26, X27","X3, X5, X6, X7, X9, X14, X15, X17, X18, X20, X22, X25, X26, X27, X30"
0.75-15-7-101,"X1, X2, X3, X4, X5, X7, X8, X13, X14, X15, X16, X17, X18, X19, X21, X22, X24, X25, X26, X27, X29, X30","X2, X3, X4, X5, X13, X15, X16, X18, X19, X21, X22, X24, X26, X27, X29","X6, X9, X10, X11, X12, X20, X23, X28","X1, X6, X7, X8, X9, X10, X11, X12, X14, X17, X20, X23, X25, X28, X30"
0.75-15-7-102,"X1, X2, X3, X4, X5, X8, X11, X12, X15, X17, X19, X20, X22, X23, X24, X25, X28, X29, X30","X1, X2, X5, X8, X11, X12, X15, X17, X19, X20, X23, X24, X25, X29, X30","X6, X7, X9, X10, X13, X14, X16, X18, X21, X26, X27","X3, X4, X6, X7, X9, X10, X13, X14, X16, X18, X21, X22, X26, X27, X28"
0.75-15-7-103,"X1, X3, X4, X5, X6, X7, X8, X9, X10, X11, X12, X13, X14, X15, X16, X17, X18, X19, X20, X22, X24, X25, X27, X28, X29, X30","X1, X4, X6, X8, X9, X10, X12, X13, X15, X16, X17, X18, X20, X25, X30","X2, X21, X23, X26","X2, X3, X5, X7, X11, X14, X19, X21, X22, X23, X24, X26, X27, X28, X29"
0.75-15-7-104,"X1, X2, X3, X4, X5, X6, X7, X9, X11, X17, X18, X19, X20, X21, X25, X26, X27, X28, X30","X1, X2, X3, X4, X5, X7, X9, X17, X18, X19, X20, X26, X27, X28, X30","X8, X10, X12, X13, X14, X15, X16, X22, X23, X24, X29","X6, X8, X10, X11, X12, X13, X14, X15, X16, X21, X22, X23, X24, X25, X29"
0.75-15-7-105,"X1, X3, X4, X5, X6, X7, X9, X10, X14, X17, X18, X19, X20, X21, X22, X23, X24, X25, X26, X28, X29, X30","X3, X5, X7, X10, X14, X17, X18, X19, X20, X22, X24, X26, X28, X29, X30","X2, X8, X11, X12, X13, X15, X16, X27","X1, X2, X4, X6, X8, X9, X11, X12, X13, X15, X16, X21, X23, X25, X27"
0.75-15-7-106,"X1, X2, X4, X5, X6, X9, X10, X11, X12, X13, X14, X15, X16, X17, X18, X19, X20, X21, X22, X23, X24, X26, X27, X28, X29, X30","X1, X2, X4, X6, X9, X12, X14, X18, X19, X22, X24, X27, X28, X29, X30","X3, X7, X8, X25","X3, X5, X7, X8, X10, X11, X13, X15, X16, X17, X20, X21, X23, X25, X26"
0.75-15-7-107,"X1, X2, X3, X4, X5, X10, X11, X12, X13, X15, X19, X20, X21, X22, X23, X24, X25, X26, X27, X28, X30","X1, X2, X3, X10, X11, X13, X20, X21, X22, X23, X24, X25, X26, X28, X30","X6, X7, X8, X9, X14, X16, X17, X18, X29","X4, X5, X6, X7, X8, X9, X12, X14, X15, X16, X17, X18, X19, X27, X29"
0.75-15-7-108,"X2, X3, X4, X5, X6, X8, X9, X10, X12, X13, X15, X16, X17, X19, X21, X24, X25, X26, X27, X28, X29, X30","X2, X3, X4, X6, X8, X10, X12, X13, X16, X24, X25, X27, X28, X29, X30","X1, X7, X11, X14, X18, X20, X22, X23","X1, X5, X7, X9, X11, X14, X15, X17, X18, X19, X20, X21, X22, X23, X26"
0.75-15-7-109,"X1, X2, X4, X7, X8, X9, X11, X12, X13, X14, X15, X16, X17, X18, X20, X21, X22, X23, X24, X27, X28, X29, X30","X1, X4, X7, X8, X11, X13, X14, X15, X17, X18, X20, X22, X24, X28, X30","X3, X5, X6, X10, X19, X25, X26","X2, X3, X5, X6, X9, X10, X12, X16, X19, X21, X23, X25, X26, X27, X29"
0.75-15-7-110,"X3, X4, X5, X6, X7, X8, X10, X11, X12, X13, X14, X16, X17, X18, X19, X21, X22, X23, X25, X26, X27, X29, X30","X3, X5, X6, X7, X8, X10, X12, X13, X18, X21, X22, X23, X25, X27, X29","X1, X2, X9, X15, X20, X24, X28","X1, X2, X4, X9, X11, X14, X15, X16, X17, X19, X20, X24, X26, X28, X30"
0.75-15-7-111,"X1, X4, X6, X7, X9, X10, X11, X13, X14, X15, X20, X21, X22, X23, X28, X29, X30","X4, X6, X7, X9, X10, X11, X13, X14, X15, X20, X22, X23, X28, X29, X30","X2, X3, X5, X8, X12, X16, X17, X18, X19, X24, X25, X26, X27","X1, X2, X3, X5, X8, X12, X16, X17, X18, X19, X21, X24, X25, X26, X27"
0.75-15-7-112,"X1, X2, X3, X4, X7, X8, X11, X12, X13, X14, X15, X16, X20, X21, X23, X24, X25, X27, X28, X30","X1, X2, X3, X4, X7, X8, X12, X14, X15, X20, X21, X23, X24, X25, X27","X5, X6, X9, X10, X17, X18, X19, X22, X26, X29","X5, X6, X9, X10, X11, X13, X16, X17, X18, X19, X22, X26, X28, X29, X30"
0.75-15-7-113,"X1, X2, X4, X5, X6, X8, X10, X11, X12, X13, X14, X16, X17, X18, X19, X20, X21, X22, X23, X24, X25, X26, X27, X29, X30","X1, X2, X4, X6, X8, X10, X11, X12, X13, X17, X18, X20, X23, X25, X29","X3, X7, X9, X15, X28","X3, X5, X7, X9, X14, X15, X16, X19, X21, X22, X24, X26, X27, X28, X30"
0.75-15-7-114,"X2, X3, X4, X5, X6, X8, X9, X12, X13, X14, X15, X19, X23, X24, X25, X26, X27, X28, X29, X30","X2, X3, X4, X5, X9, X12, X13, X15, X23, X24, X26, X27, X28, X29, X30","X1, X7, X10, X11, X16, X17, X18, X20, X21, X22","X1, X6, X7, X8, X10, X11, X14, X16, X17, X18, X19, X20, X21, X22, X25"
0.75-15-7-115,"X1, X2, X3, X4, X7, X8, X9, X10, X11, X12, X13, X14, X15, X16, X17, X19, X20, X26, X27, X28, X30","X1, X3, X4, X8, X10, X11, X12, X13, X14, X16, X17, X19, X20, X28, X30","X5, X6, X18, X21, X22, X23, X24, X25, X29","X2, X5, X6, X7, X9, X15, X18, X21, X22, X23, X24, X25, X26, X27, X29"
0.75-15-7-116,"X2, X5, X7, X8, X9, X10, X13, X14, X15, X17, X18, X19, X20, X21, X22, X23, X24, X25, X27, X28, X29, X30","X5, X7, X8, X9, X13, X15, X17, X18, X20, X21, X23, X24, X27, X28, X29","X1, X3, X4, X6, X11, X12, X16, X26","X1, X2, X3, X4, X6, X10, X11, X12, X14, X16, X19, X22, X25, X26, X30"
0.75-15-7-117,"X1, X4, X5, X7, X8, X10, X11, X12, X13, X15, X17, X18, X19, X20, X21, X23, X24, X26, X27, X29, X30","X1, X4, X7, X8, X10, X11, X12, X13, X17, X19, X20, X21, X23, X26, X27","X2, X3, X6, X9, X14, X16, X22, X25, X28","X2, X3, X5, X6, X9, X14, X15, X16, X18, X22, X24, X25, X28, X29, X30"
